amostra	sentença	inter
A	Ninguem esperava tal cousa de um rapaz tão cautelloso, que fugia de tudo, dos somnos atrazados, dos somnos excessivos, de andar sozinho a horas mortas, que vivia, por assim dizer, ás apalpadellas.	1
A	Aguiar tambem queria ir, mas Tristão disse-lhe que era melhor ficar; elle se incumbiria de dar lá todas as desculpas, e foi sozinho.	1
A	Resolução perdida; ella não foi e eu tive de acompanhar o desembargador sozinho; pouco depois voltei...	3
A	Se eu teimo em ir elle era capaz de ficar para a não deixar sozinha.	1
A	Tristão foi sozinho á casa do desembargador, aonde vão hoje alguns amigos do fôro.	1
A	Conteve-se, entretanto; limitou-se a dizer ao marido, que, se elle não ia, ella não iria tambem, porque não havia de metter-se sózinha pelas estradas.	1
A	Vem perto o dia Em que, na imensidão destes desertos, Ha de ao frio luar das longas noites O pagé suspirar sozinho e triste Sem povo nem Tupan!»	4
A	De repente, a criada, que estava na outra sala, ouvindo rumor de alguma cousa que se quebrava, correu á de visitas, e viu a ama, sozinha, de pé.	1
B	Para não seguir sózinho em busca de paragens tão desconhecidas e dificeis, invoquei a presença de um velho pastor do Himalaia, afeito desde os mais remotos tempos a trilhar os caminhos azuis do Firmamento, e com ele subi, redemoinhei, turbilhonei por entre os astros fulgurantes...	1
B	Dir-se-ia que o dinheiro aprendera sózinho o caminho dos seus cofres, correndo para elles sem interrupção.	6
B	Ninguem lh'o dizia; assim, ora a imaginava na sepultura, e era a idéia mais consoladora, ora regenerada, mas sozinha ... ora em um d'esses recantos negros da cidade, já velha e ainda atolada no vicio, batida, escarnecida, miseravel.	4
B	--Camilla sae sozinha?	6
B	Maia, e que mais valeria irem lá papar-lhe o almoço do que entrarem sozinhas em um restaurante.	1
B	Tia Joanna sahira sozinha para as devoções; nem a presentira.	1
B	Para onde teria ido a pobre, sózinha, sem conhecer ninguem?	4
B	Foi ao fragor d'essas invectivas que Ruth se despediu da velha, deixando-a sozinha no seu casarão, onde as catingas do rato e do mofo vagavam conjunctamente.	1
B	Mas nada houve nessa tarde que entretivesse Francisco Theodoro; elle repellia a companhia de toda a gente para ir passear sózinho lá para o fundo da chacara.	1
B	Francisco Theodoro seguiu sózinho para o fundo da chacara.	1
B	Já mal podia caminhar: um peso horrivel nas pernas fazia-o retardar os passos, exactamente quando os queria accelerar; arrimava-se com força ao seu chapéo de chuva e remexia os beiços como se fosse a fallar sózinho; era a seccura, tinha um aperto na garganta, parecia-lhe ter engolido todo o pó das ruas.	6
B	Vá, eu me arranjarei sozinha.	3
B	Ella que passava, sózinha, vestida da lã negra, com um véo de crepe pela cara, mal arranjada, abotoada á pressa, não era a Camilla dos vestidos claros e das mãos luminosas; essa estaria lá dentro do palacete no seu eterno sonho de mocidade, de amor e de belleza...	1
B	Nunca se encontrara alli sozinha: Gervasio não quizera expol-a aos commentarios dos seus criados; preferira ter um canto obscuro, todo destinado a ella e que nenhuma outra mulher maculasse com a sua presença ou a sua indagação curiosa.	1
B	Camilla desprendeu-se, já muito impaciente; queria ir sozinha, andar a pé, ao ar livre.	1
B	Sahiram os dois, eu fiquei sózinha... um pouco arrependida... quiz estudar... abri o livro, mas não sei o que é que tinha nos olhos, que não via bem...	1
B	--Eu quero dormir sózinha; não sou medrosa.	1
B	É a primeira vez que jantas sozinha com teu pae... que te parece?	3
B	--Minha pobre filha, exclamou a baroneza olhando para o céu; não sei como hei de defender-te sózinha!	3
B	Elle, o viuvo, deve ter sentido o isolamento d'aquella casa, onde por nove annos viveu sózinho!	5
B	Havia um conforto novo, um aroma de malva ou de pomar florido, melhor luz, melhor ar, por aquelles compartimentos que o Feliciano, quando sózinho, enchia do cheiro de cigarros e de charutos.	1
B	Logo que Maria deparou com o seu grande amigo sentado sózinho em frente á estatua, correu alegremente para elle e afogueada, risonha, abraçou-o com força.	1
B	mas aquella pobre mulher sózinha?	4
B	--Então elle vive sózinho... absolutamente sózinho?...	1
B	Felizes as borboletas, que procuram sózinhas os seus casaes...	6
B	E o viuvo caminhava a pé, sózinho, pensando nas surprezas d'esta vida de civilisação, e revendo a pallidez da moça, o seu olhar sincero e transparente.	1
B	Tinha fugido á tempestade sózinha, branca, até áquellas paragens desconhecidas e inhospitas.	6
B	--Sinto-me tão sózinha!	4
B	--Depois do café, ao entrarem os dois sózinhos para a bibliotheca, Argemiro notou:	1
B	Deveria chorar pela avó, pela sua razão perdida, ou salvar a moça, que ficara sózinha em sua frente?	1
B	Não conseguindo abalar o avô, Gloria avançava sózinha para o quarto, affrontando tudo, quando a baroneza sahiu, hirta, com os labios afinados e pallidos, os olhos circulados de rôxo.	1
B	Assumpção acariciou-lhe a cabeça e entrou sózinho na saleta da baroneza.	1
B	--Não a chorará sózinha... murmurou elle quasi em segredo, córando.	3
B	ficou sozinha, nunca mais se juntou com outra luz de que saiu.	1
B	A lágrima do adeus ficou suspensa, como uma cortina que embacia o claro ver: e o palmital da lagoa, o boleado das coxilhas, o recorte da serra, tudo isto, que era grande e sozinho cada um enchia e sobrava para os olhos limpos dum homem, tudo isso eu enxergava junto, empastalhado e pouco, espelhando-se na lágrima suspensa, que se encrespava e adelgaçava, fazendo franjas entre as pestanas balançantes dos meus olhos de condenado sem perdão...	4
B	Fiquei sozinho, abandonado, e no mesmo lugar e mesmos ferros posto.	1
B	Fiquei sozinho, ouvindo com os ouvidos da minha cabeça as ladainhas que iam minguando, em retirada... mas também ouvindo com os ouvidos do pensamento o chamado carinhoso da teiniaguá; os olhos do meu rosto viam a consolação da Maria Puríssima que se alonjava... mas os olhos do pensamento viam a tentação do riso mimoso da teiniaguá; o nariz do meu rosto tomava o faro do incenso que fugia, ardendo e perfumando as santidades... mas o faro do pensamento sorvia a essência das flores do mel fino de que a teiniaguá tanto gostava; a língua da minha boca estava seca, de agonia, dura, de terror, amarga, de doença... mas a língua do pensamento saboreava os beijos da teiniaguá, doces e macios, frescos e sumarentos como polpa de guabiju colhido ao nascer do sol; o tato das minhas mãos tocava manilhas de ferro, que me prendiam por braços e pernas... mas o tato do pensamento roçava sôfrego pelo corpo da encantada, torneado e rijo, que se encolhia em ânsias, arrepiado como um lombo de jaguar no cio, que se estendia planchado como um corpo de cascavel em fúria...	1
B	Onde estavam sozinhos ficaram serros e serrotes; onde estavam apinhoscados ficou a serrania encordoada.	1
B	Na peleja tão sozinhos...	4
B	Um dia, na adolescencia, percorria, sózinha, um atalho.	1
